                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.42629,                0.27751,                0.82449,                 0.9763,                0.98285,                0.98791,                0.93782,                0.34218,                0.23102,                 0.7996,             0.00041875,             0.00041875,             0.00041875
                    103,                 0.4334,                0.28018,                 0.8267,                0.97402,                0.98038,                0.98737,                0.93818,                0.33691,                0.23112,                0.79777,             0.00041669,             0.00041669,             0.00041669
                    104,                0.43789,                0.27838,                0.82704,                0.97511,                0.98359,                0.98823,                0.93545,                0.34294,                 0.2331,                0.79964,             0.00041462,             0.00041462,             0.00041462
                    105,                0.42633,                0.27258,                0.82551,                0.97615,                0.97974,                0.98872,                0.94183,                0.33627,                0.22676,                0.79878,             0.00041256,             0.00041256,             0.00041256
                    106,                0.42492,                0.27482,                0.82729,                0.97492,                0.98178,                0.98859,                0.94206,                0.33829,                 0.2282,                0.79766,              0.0004105,              0.0004105,              0.0004105
                    107,                0.42384,                0.27128,                0.82342,                0.97476,                0.98252,                 0.9877,                 0.9318,                0.35668,                0.22799,                0.80242,             0.00040844,             0.00040844,             0.00040844
                    108,                0.42258,                0.26923,                0.82465,                0.97532,                0.98197,                 0.9873,                0.93642,                0.34179,                0.22889,                0.79817,             0.00040638,             0.00040638,             0.00040638
                    109,                 0.4223,                0.26998,                0.82545,                0.97546,                0.98278,                0.98781,                0.94019,                0.33774,                0.22632,                0.79811,             0.00040431,             0.00040431,             0.00040431
                    110,                0.41362,                0.26864,                 0.8222,                0.96804,                0.98413,                0.98568,                0.92951,                0.35904,                0.23433,                0.80358,             0.00040225,             0.00040225,             0.00040225
                    111,                0.42297,                0.27213,                0.82622,                0.97413,                0.97946,                0.98684,                0.93927,                0.34563,                0.23033,                0.79922,             0.00040019,             0.00040019,             0.00040019
                    112,                0.41923,                0.26961,                0.82221,                0.97137,                0.98569,                0.98835,                0.94335,                0.33668,                0.22689,                0.79776,             0.00039813,             0.00039813,             0.00039813
                    113,                0.42017,                0.27023,                0.82403,                0.97734,                0.97936,                0.98752,                0.94097,                0.32906,                0.22167,                0.79646,             0.00039606,             0.00039606,             0.00039606
                    114,                0.41817,                0.26679,                0.82389,                0.97716,                 0.9828,                0.98854,                0.94383,                0.32776,                0.22147,                0.79575,               0.000394,               0.000394,               0.000394
                    115,                0.41733,                0.26714,                0.82335,                0.97293,                0.97997,                0.98946,                0.94333,                0.32912,                0.22503,                0.79632,             0.00039194,             0.00039194,             0.00039194
                    116,                0.41564,                0.26054,                0.82298,                0.97622,                0.97912,                 0.9892,                0.94636,                0.33158,                0.21924,                0.79793,             0.00038988,             0.00038988,             0.00038988
                    117,                0.41254,                0.26445,                0.82335,                 0.9732,                0.98546,                0.98887,                0.93745,                0.34131,                0.22683,                0.80051,             0.00038781,             0.00038781,             0.00038781
                    118,                0.41345,                0.26332,                0.82065,                0.97364,                0.98416,                0.98913,                0.94378,                0.32479,                0.22087,                0.79733,             0.00038575,             0.00038575,             0.00038575
                    119,                0.40818,                0.26138,                0.82224,                0.97339,                0.98186,                0.98862,                0.94295,                0.32928,                0.22129,                0.79733,             0.00038369,             0.00038369,             0.00038369
                    120,                0.41539,                0.26657,                 0.8245,                 0.9739,                0.98025,                0.98416,                0.93593,                0.33964,                0.22572,                0.79976,             0.00038163,             0.00038163,             0.00038163
                    121,                 0.4173,                0.26719,                0.82502,                 0.9693,                0.98269,                0.98651,                0.93934,                  0.324,                0.22511,                0.79692,             0.00037956,             0.00037956,             0.00037956
                    122,                0.40105,                0.25817,                 0.8221,                0.96754,                0.98225,                0.98656,                  0.935,                0.34113,                0.22617,                0.79951,              0.0003775,              0.0003775,              0.0003775
                    123,                0.40748,                0.26171,                0.82308,                0.96944,                0.98426,                0.98766,                0.93283,                0.33901,                0.22604,                0.79915,             0.00037544,             0.00037544,             0.00037544
                    124,                0.40981,                0.26486,                0.82307,                0.97027,                0.98621,                0.98782,                0.93351,                0.34922,                0.22871,                0.80071,             0.00037337,             0.00037337,             0.00037337
                    125,                0.41269,                0.26266,                0.82355,                0.96704,                0.98613,                0.98825,                0.93299,                0.35499,                0.23082,                 0.8006,             0.00037131,             0.00037131,             0.00037131
                    126,                0.40799,                0.25866,                0.82299,                0.96884,                0.98408,                0.98838,                 0.9414,                0.32518,                  0.219,                0.79674,             0.00036925,             0.00036925,             0.00036925
                    127,                 0.4077,                0.25963,                0.82378,                0.97851,                0.98407,                0.98821,                0.94285,                0.32332,                0.21153,                0.79526,             0.00036719,             0.00036719,             0.00036719
                    128,                0.41092,                0.25914,                0.82566,                 0.9734,                0.98559,                0.98768,                0.94158,                 0.3286,                0.21484,                0.79684,             0.00036513,             0.00036513,             0.00036513
                    129,                0.41067,                0.25714,                0.82071,                0.97347,                0.98081,                 0.9848,                0.93599,                0.34276,                0.21963,                0.79999,             0.00036306,             0.00036306,             0.00036306
                    130,                0.40004,                 0.2568,                0.82203,                0.97325,                0.98178,                0.98744,                0.93811,                0.32795,                  0.219,                0.79697,               0.000361,               0.000361,               0.000361
                    131,                0.40663,                0.25764,                0.82762,                0.97665,                0.97878,                0.98761,                0.94206,                0.32762,                0.21426,                0.79605,             0.00035894,             0.00035894,             0.00035894
                    132,                0.40971,                0.26434,                 0.8252,                0.97194,                0.98291,                0.98795,                0.94157,                0.34003,                0.22202,                0.79848,             0.00035687,             0.00035687,             0.00035687
                    133,                0.40506,                0.25855,                0.82141,                0.97263,                0.98052,                0.98573,                0.94146,                0.32942,                 0.2172,                0.79767,             0.00035481,             0.00035481,             0.00035481
                    134,                0.39738,                0.25544,                0.81838,                0.96812,                0.98215,                0.98728,                0.93904,                0.33534,                0.22142,                0.79808,             0.00035275,             0.00035275,             0.00035275
                    135,                0.40035,                0.25434,                0.81958,                0.96638,                0.98315,                 0.9888,                0.94456,                0.32157,                0.21699,                0.79524,             0.00035069,             0.00035069,             0.00035069
                    136,                0.39812,                 0.2552,                0.82171,                0.96714,                0.98223,                0.98738,                0.94689,                0.31664,                0.21787,                0.79551,             0.00034862,             0.00034862,             0.00034862
                    137,                 0.4008,                  0.257,                0.82069,                 0.9647,                0.98251,                 0.9878,                0.94381,                0.32882,                0.22412,                0.79784,             0.00034656,             0.00034656,             0.00034656
                    138,                0.40438,                0.25631,                0.82056,                0.96947,                0.98167,                0.98796,                0.94156,                0.33201,                 0.2226,                0.79789,              0.0003445,              0.0003445,              0.0003445
                    139,                0.39412,                0.25026,                 0.8203,                0.97213,                0.98172,                0.98499,                0.93524,                0.34696,                0.22182,                0.79957,             0.00034244,             0.00034244,             0.00034244
                    140,                0.39538,                0.24882,                 0.8201,                0.97044,                0.98398,                 0.9875,                0.94227,                0.32532,                0.21749,                0.79601,             0.00034038,             0.00034038,             0.00034038
                    141,                0.39895,                0.24997,                0.82074,                0.96987,                0.98275,                0.98611,                0.94183,                0.32859,                0.21768,                0.79833,             0.00033831,             0.00033831,             0.00033831
                    142,                0.39001,                0.24617,                0.81877,                0.97241,                0.98137,                0.98601,                0.93903,                0.33168,                0.21845,                0.79748,             0.00033625,             0.00033625,             0.00033625
                    143,                0.38856,                0.24955,                0.81658,                0.97052,                0.98268,                0.98802,                0.94152,                0.32876,                0.21908,                0.79738,             0.00033419,             0.00033419,             0.00033419
                    144,                0.39837,                 0.2518,                0.81941,                0.96966,                0.98539,                0.98734,                0.93738,                0.33251,                0.21892,                0.79778,             0.00033213,             0.00033213,             0.00033213
                    145,                0.39002,                0.24813,                0.81921,                 0.9729,                 0.9823,                0.98548,                0.94232,                0.31345,                0.21569,                0.79496,             0.00033006,             0.00033006,             0.00033006
                    146,                0.39185,                0.24596,                0.81943,                0.97189,                0.97926,                0.98736,                0.94334,                0.32231,                0.22107,                0.79671,               0.000328,               0.000328,               0.000328
                    147,                0.39022,                0.24741,                0.81991,                0.97062,                0.97747,                0.98527,                0.94312,                0.31521,                0.21855,                0.79499,             0.00032594,             0.00032594,             0.00032594
                    148,                0.38951,                0.24673,                0.82051,                0.97213,                0.98268,                0.98821,                 0.9463,                0.32376,                0.21378,                0.79639,             0.00032387,             0.00032387,             0.00032387
                    149,                0.38756,                0.24634,                0.81846,                 0.9735,                0.98069,                0.98687,                0.94549,                0.30963,                0.21097,                0.79435,             0.00032181,             0.00032181,             0.00032181
                    150,                0.38867,                0.24431,                0.81966,                0.97392,                0.98316,                0.98863,                0.94726,                0.32192,                0.21344,                0.79654,             0.00031975,             0.00031975,             0.00031975
                    151,                0.39216,                 0.2445,                0.82082,                0.97348,                0.98012,                 0.9869,                0.94259,                0.33116,                0.21637,                0.79839,             0.00031769,             0.00031769,             0.00031769
                    152,                0.39529,                0.24978,                 0.8214,                 0.9707,                0.98035,                0.98525,                0.94093,                0.33571,                0.21762,                0.79882,             0.00031562,             0.00031562,             0.00031562
                    153,                0.39295,                0.24762,                 0.8218,                0.97092,                0.98128,                0.98591,                0.94408,                0.32543,                0.21533,                0.79589,             0.00031356,             0.00031356,             0.00031356
                    154,                0.38262,                0.24094,                0.81843,                0.97337,                0.98113,                0.98661,                0.94023,                0.32139,                0.21218,                0.79604,              0.0003115,              0.0003115,              0.0003115
                    155,                0.38594,                0.24171,                 0.8164,                0.96943,                0.98445,                0.98614,                0.94847,                0.30387,                0.20669,                0.79319,             0.00030944,             0.00030944,             0.00030944
